scenario_group,scenario,label,policy_type,algorithm_or_controller,env,n_episodes,success_rate,crash_rate,timeout_rate,mean_landing_time,mean_fuel_used,mean_final_velocity_error,mean_abs_throttle_delta,mean_max_velocity,mean_max_acceleration,terminal_reason_counts
generalization,standard,Baseline PPO,sb3,PPO,base,50,1.0,0.0,0.0,7.264999999999983,4.393898241497577,1.174954457505462,0.014772030636797703,15.732908264916,9.809929796414615,"{""success"": 50}"
generalization,standard,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.732999999999991,3.0267809301316735,0.31284019007106617,0.044078972724594594,20.645197825502247,11.257952603038703,"{""success"": 50}"
generalization,random_height,Baseline PPO,sb3,PPO,base,50,0.48,0.52,0.0,7.363999999999987,4.3547430687975135,2.5038255654269874,0.017419730438717605,16.009179278609178,9.810003161612178,"{""crash"": 26, ""success"": 24}"
generalization,random_height,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.93899999999999,3.1283828661516315,0.3336133077699667,0.05248038235404823,20.858355836928595,12.003783164092436,"{""success"": 50}"
generalization,random_velocity,Baseline PPO,sb3,PPO,base,50,1.0,0.0,0.0,7.528999999999981,4.52541486042738,1.0486036814951172,0.014450249442247019,16.077007026127713,9.810884235761238,"{""success"": 50}"
generalization,random_velocity,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.84599999999999,3.0802540064603092,0.29411130462826907,0.04479262229163527,21.005383898790086,11.51729346543377,"{""success"": 50}"
generalization,random_mass,Baseline PPO,sb3,PPO,base,50,0.94,0.06,0.0,7.256999999999985,4.286111012259498,1.463742229511113,0.01490685219185209,15.816628378699747,9.80988296647873,"{""success"": 47, ""crash"": 3}"
generalization,random_mass,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.7269999999999905,2.965577553234995,0.3007513264776351,0.04454553497007966,20.93004346782192,12.333511961552972,"{""success"": 50}"
generalization,random_fuel,Baseline PPO,sb3,PPO,base,50,0.26,0.74,0.0,6.597999999999985,3.9054043857988474,4.260400821037939,0.0193445323799922,15.820332373800618,9.809855462424736,"{""crash"": 37, ""success"": 13}"
generalization,random_fuel,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.735999999999991,3.0750304558470645,0.3197058245920515,0.04293382927535736,20.508163054518107,11.6094678088768,"{""success"": 50}"
robustness,gravity_bias,Baseline PPO,sb3,PPO,base,50,1.0,0.0,0.0,7.275999999999983,4.399595783854834,1.2122420946778554,0.014795410970368563,15.69930365584032,9.830630521920193,"{""success"": 50}"
robustness,gravity_bias,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.714999999999992,3.0156119041219354,0.2823309047135596,0.04199731012308267,20.57639795575143,11.236712072940815,"{""success"": 50}"
robustness,thrust_bias,Baseline PPO,sb3,PPO,base,50,1.0,0.0,0.0,7.257999999999984,4.389946679867024,1.2025605300245332,0.014864894685224426,15.712717937778379,9.809882982328316,"{""success"": 50}"
robustness,thrust_bias,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.7379999999999916,3.0332324502604875,0.2854277623746919,0.04382869777357605,20.601671351705935,11.550054545149003,"{""success"": 50}"
robustness,sensor_noise,Baseline PPO,sb3,PPO,base,50,0.84,0.16,0.0,7.356999999999982,4.420717545508407,1.4046896342132502,0.529254586043312,15.874601851509,16.8049507686148,"{""success"": 42, ""crash"": 8}"
robustness,sensor_noise,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.737999999999991,3.017671237796545,0.39234451736639353,0.08539160826925425,20.699304017618953,12.118463782194924,"{""success"": 50}"
robustness,action_delay_1,Baseline PPO,sb3,PPO,base,50,1.0,0.0,0.0,7.462999999999982,4.503810508408584,1.0648865130244116,0.01532356351924361,16.19012527948837,9.809936030471723,"{""success"": 50}"
robustness,action_delay_1,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.729999999999991,3.01076489225775,0.589552958419382,0.04763445536330429,21.212642964681198,11.201810705682298,"{""success"": 50}"
robustness,action_delay_2,Baseline PPO,sb3,PPO,base,50,1.0,0.0,0.0,7.581999999999981,4.55668668653816,1.0083583591219947,0.01789802852088745,16.578032272140078,9.810095026374876,"{""success"": 50}"
robustness,action_delay_2,Pure Energy PPO,sb3,PPO,energy,50,0.98,0.02,0.0,5.20899999999999,3.2433678229898213,1.130132864747058,0.07794931534502408,21.6206750739074,12.692658968921194,"{""crash"": 1, ""success"": 49}"
robustness,combined,Baseline PPO,sb3,PPO,base,50,0.4,0.6,0.0,7.103999999999985,4.210894153083901,2.728884159689396,0.2953939419466372,16.3781770098451,13.74337121329677,"{""crash"": 30, ""success"": 20}"
robustness,combined,Pure Energy PPO,sb3,PPO,energy,50,1.0,0.0,0.0,4.773999999999991,3.0339786281749213,0.6292141757396286,0.0661829716052602,21.148680198436576,11.825063806385092,"{""success"": 50}"
